YR,M,D,HR,MIN,DM
2006,1,9,23,0,5607.9
2006,1,9,24,0,5087.6
2006,1,10,1,0,4669.6
2006,1,10,2,0,4413.6
2006,1,10,3,0,4280.2
2006,1,10,4,0,4225.3
2006,1,10,5,0,4247.7
2006,1,10,6,0,4515.8
2006,1,10,7,0,4910.8
2006,1,10,8,0,5461.2
2006,1,10,9,0,6065.9
2006,1,10,10,0,6376.4
2006,1,10,11,0,6484.5
2006,1,10,12,0,6527.2
2006,1,10,13,0,6507.8
2006,1,10,14,0,6520.8
2006,1,10,15,0,6496.6
2006,1,10,16,0,6496.5
2006,1,10,17,0,6654.8
2006,1,10,18,0,6944.2
2006,1,10,19,0,6798.7
2006,1,10,20,0,6570.7
2006,1,10,21,0,6317.8
2006,1,10,22,0,6030.7
2006,1,10,23,0,5615.3
2006,1,10,24,0,5150.8
2006,1,11,1,0,4706.1
2006,1,11,2,0,4436.3
2006,1,11,3,0,4310.6
2006,1,11,4,0,4250.8
2006,1,11,5,0,4274.7
2006,1,11,6,0,4547.6
2006,1,11,7,0,5161.3
2006,1,11,8,0,5819.4
2006,1,11,9,0,6225
2006,1,11,10,0,6486.5
2006,1,11,11,0,6603.6
2006,1,11,12,0,6651
2006,1,11,13,0,6666.8
2006,1,11,14,0,6683.5
2006,1,11,15,0,6632
2006,1,11,16,0,6663.4
2006,1,11,17,0,6861.3
2006,1,11,18,0,7032.5
2006,1,11,19,0,6828.5
2006,1,11,20,0,6586.8
2006,1,11,21,0,6307
2006,1,11,22,0,6003.2
2006,1,11,23,0,5603.2
2006,1,11,24,0,5139.3
2006,1,12,1,0,4670.4
2006,1,12,2,0,4439.7
2006,1,12,3,0,4285.3
2006,1,12,4,0,4218.5
2006,1,12,5,0,4243.8
2006,1,12,6,0,4499.6
2006,1,12,7,0,5129.3
2006,1,12,8,0,5761.7
2006,1,12,9,0,6133.3
2006,1,12,10,0,6364.2
2006,1,12,11,0,6440.5
2006,1,12,12,0,6486.8
2006,1,12,13,0,6469.6
2006,1,12,14,0,6461
2006,1,12,15,0,6438.9
2006,1,12,16,0,6430.7
2006,1,12,17,0,6557.3
2006,1,12,18,0,6843.1
2006,1,12,19,0,6680.7
2006,1,12,20,0,6471.8
2006,1,12,21,0,6204.9
2006,1,12,22,0,5927.3
2006,1,12,23,0,5575.6
2006,1,12,24,0,5082
2006,1,13,1,0,4655.5
2006,1,13,2,0,4407.5
2006,1,13,3,0,4255.6
2006,1,13,4,0,4195.5
2006,1,13,5,0,4219
2006,1,13,6,0,4487
2006,1,13,7,0,5095
2006,1,13,8,0,5720.5
2006,1,13,9,0,6113.3
2006,1,13,10,0,6406.1
2006,1,13,11,0,6524.4
2006,1,13,12,0,6563.2
2006,1,13,13,0,6551.5
2006,1,13,14,0,6543.7
2006,1,13,15,0,6520.4
2006,1,13,16,0,6511.5
2006,1,13,17,0,6640.6
2006,1,13,18,0,6830.9
2006,1,13,19,0,6600.7
2006,1,13,20,0,6366.2
2006,1,13,21,0,6128.9
2006,1,13,22,0,5830.6
2006,1,13,23,0,5528.5
2006,1,13,24,0,5147.2
2006,1,14,1,0,4761.5
2006,1,14,2,0,4499.9
2006,1,14,3,0,4333.8
2006,1,14,4,0,4239.6
2006,1,14,5,0,4210.2
2006,1,14,6,0,4262.2
2006,1,14,7,0,4435.9
2006,1,14,8,0,4663.5
2006,1,14,9,0,5001.6
2006,1,14,10,0,5315.9
2006,1,14,11,0,5562.7
2006,1,14,12,0,5675.3
2006,1,14,13,0,5712.3
2006,1,14,14,0,5684.9
2006,1,14,15,0,5676.2
2006,1,14,16,0,5702.9
2006,1,14,17,0,5816.5
2006,1,14,18,0,6008.4
2006,1,14,19,0,5990.6
2006,1,14,20,0,5905.6
2006,1,14,21,0,5786.4
2006,1,14,22,0,5647.5
2006,1,14,23,0,5477.5
2006,1,14,24,0,5227
2006,1,15,1,0,4910
2006,1,15,2,0,4668.3
2006,1,15,3,0,4490.8
2006,1,15,4,0,4402.7
2006,1,15,5,0,4385
2006,1,15,6,0,4440.9
2006,1,15,7,0,4561.8
2006,1,15,8,0,4698.6
2006,1,15,9,0,4937
2006,1,15,10,0,5234.8
2006,1,15,11,0,5510.1
2006,1,15,12,0,5679
2006,1,15,13,0,5756.7
2006,1,15,14,0,5747.4
2006,1,15,15,0,5738.9
2006,1,15,16,0,5755.1
2006,1,15,17,0,5886.6
2006,1,15,18,0,6254.4
2006,1,15,19,0,6311.8
2006,1,15,20,0,6232.4
2006,1,15,21,0,6130.1
2006,1,15,22,0,5991.2
2006,1,15,23,0,5791.7
2006,1,15,24,0,5493.7
2006,1,16,1,0,5138.2
2006,1,16,2,0,4936.2
2006,1,16,3,0,4779.4
2006,1,16,4,0,4688.9
2006,1,16,5,0,4679.1
2006,1,16,6,0,4862.2
2006,1,16,7,0,5191.5
2006,1,16,8,0,5523.3
2006,1,16,9,0,5901.5
2006,1,16,10,0,6223.7
2006,1,16,11,0,6441.4
2006,1,16,12,0,6533.7
2006,1,16,13,0,6526.7
2006,1,16,14,0,6498
2006,1,16,15,0,6462
2006,1,16,16,0,6452.1
2006,1,16,17,0,6551.3
2006,1,16,18,0,6890.4
2006,1,16,19,0,6839.6
2006,1,16,20,0,6678.4
2006,1,16,21,0,6482.3
2006,1,16,22,0,6188.2
2006,1,16,23,0,5861.5
2006,1,16,24,0,5419.8
2006,1,17,1,0,5007.4
2006,1,17,2,0,4770.6
2006,1,17,3,0,4621.2
2006,1,17,4,0,4572.2
2006,1,17,5,0,4605.4
2006,1,17,6,0,4871.4
2006,1,17,7,0,5472.3
2006,1,17,8,0,6072.2
2006,1,17,9,0,6423.6
2006,1,17,10,0,6663.2
2006,1,17,11,0,6768.4
2006,1,17,12,0,6802.4
2006,1,17,13,0,6792.4
2006,1,17,14,0,6804.3
2006,1,17,15,0,6801
2006,1,17,16,0,6859.3
2006,1,17,17,0,6994.4
2006,1,17,18,0,7184.9
2006,1,17,19,0,7012.2
2006,1,17,20,0,6786.1
2006,1,17,21,0,6509.9
2006,1,17,22,0,6206.1
2006,1,17,23,0,5802.8
2006,1,17,24,0,5307.7
2006,1,18,1,0,4859.1
2006,1,18,2,0,4587
2006,1,18,3,0,4431
2006,1,18,4,0,4352.1
2006,1,18,5,0,4363.6
2006,1,18,6,0,4605.1
2006,1,18,7,0,5208.7
2006,1,18,8,0,5880.7
2006,1,18,9,0,6238.7
2006,1,18,10,0,6512.3
2006,1,18,11,0,6664.4
2006,1,18,12,0,6753.2
2006,1,18,13,0,6762.2
2006,1,18,14,0,6800.1
2006,1,18,15,0,6719.7
2006,1,18,16,0,6727.8
2006,1,18,17,0,6837.1
2006,1,18,18,0,7064.8
2006,1,18,19,0,6925.7
2006,1,18,20,0,6710.6
2006,1,18,21,0,6453.4
2006,1,18,22,0,6169
2006,1,18,23,0,5767.1
2006,1,18,24,0,5294.9
2006,1,19,1,0,4857.7
2006,1,19,2,0,4591.7
2006,1,19,3,0,4461.9
2006,1,19,4,0,4412.3
2006,1,19,5,0,4436.7
2006,1,19,6,0,4698.9
2006,1,19,7,0,5310.3
2006,1,19,8,0,5929
2006,1,19,9,0,6281.6
