PUMA,2005_MHI,2005_MGR,2005_MHV,2005_RMB,2005_OCC,2005_EDU,2005_UTF,2005_WHT,2005_NDX,2006_MHI,2006_MGR,2006_MHV,2006_RMB,2006_OCC,2006_EDU,2006_UTF,2006_WHT,2006_NDX,2007_MHI,2007_MGR,2007_MHV,2007_RMB,2007_OCC,2007_EDU,2007_UTF,2007_WHT,2007_NDX,2008_MHI,2008_MGR,2008_MHV,2008_RMB,2008_OCC,2008_EDU,2008_UTF,2008_WHT,2008_NDX,2009_MHI,2009_MGR,2009_MHV,2009_RMB,2009_OCC,2009_EDU,2009_UTF,2009_WHT,2009_NDX,2010_MHI,2010_MGR,2010_MHV,2010_RMB,2010_OCC,2010_EDU,2010_UTF,2010_WHT,2010_NDX,2011_MHI,2011_MGR,2011_MHV,2011_RMB,2011_OCC,2011_EDU,2011_UTF,2011_WHT,2011_NDX,trend_MHI,trend_MGR,trend_MHV,trend_RMB,trend_OCC,trend_EDU,trend_UTF,trend_WHT,trend_NDX,NAME
4104,69824.45055,1146.545802,625000,0.321858272,0.268299908,0.489389016,0.385182326,0.542767115,0.341419052,64583.81503,1204.715084,625000,0.320572857,0.26325579,0.469224824,0.387409653,0.501295216,0.162033296,70000,1162.164706,625000,0.25791699,0.247310956,0.465255206,0.370573311,0.530610922,-0.062286824,74129.62963,1318.616352,6.00E+05,0.326910796,0.248044764,0.470001041,0.390943076,0.530583329,0.122128539,79125.30864,1395.523466,6.00E+05,0.281517455,0.236962029,0.468241827,0.392025449,0.539302105,0.041074695,70297.59036,1380.34188,555000,0.29262784,0.274960578,0.524151382,0.407477799,0.460992613,0.135759859,80000,1575.901639,553051.4706,0.300841674,0.251426693,0.523016749,0.386787602,0.442717334,0.154128839,10175.54945,429.3558378,-71948.52941,-0.021016598,-0.016873216,0.033627734,0.001605276,-0.100049781,-0.187290213,"Bayside, Douglaston & Little Neck"
4105,64426.01156,1112.173913,350000,0.265544268,0.231657849,0.395575563,0.402464936,0.164084046,-0.285181447,69727.88462,1252.066421,450000,0.280058037,0.213069166,0.387674273,0.431264689,0.138332038,-0.099743945,75538.10742,1308.074534,450000,0.292593691,0.219575303,0.406877032,0.443671187,0.142581688,-0.014346486,75673.30247,1268.308157,450000,0.264625287,0.231721582,0.426335863,0.439094877,0.159266504,-0.19376242,75631.25,1302.021858,430000,0.266213102,0.226110116,0.429965827,0.451555626,0.140727992,-0.183340613,80521.73913,1452.5,4.00E+05,0.251901648,0.230940198,0.406915112,0.440398711,0.133470553,-0.094332842,75000,1420,4.00E+05,0.283341275,0.210362668,0.411227474,0.453692919,0.142427954,-0.127468724,10573.98844,307.826087,50000,0.017797007,-0.021295181,0.015651911,0.051227983,-0.021656092,0.157712723,"Queens Village, Cambria Heights & Rosedale"
4106,49676.64234,972.7956989,450000,0.362050311,0.231900747,0.448519613,0.434599339,0.384639898,0.023652416,58285.27397,1070,625000,0.333345315,0.216496317,0.448330932,0.446095088,0.365061027,0.05469259,57039.47368,1030,625000,0.299813883,0.230689867,0.458476353,0.455189381,0.404059443,-0.034664023,64422.31579,1134.258675,577934.7826,0.379628118,0.233406933,0.491923744,0.438917872,0.372872974,0.122302834,60000,1177.579462,5.00E+05,0.321534119,0.2428196,0.453481943,0.450381774,0.341695711,-0.055871075,56000,1231.794872,525000,0.2812773,0.211830872,0.50220325,0.429039412,0.328190001,-0.156203198,59259.25926,1170,5.00E+05,0.262857042,0.242019379,0.495723121,0.455011393,0.353370596,-0.141903485,9582.616923,197.2043011,50000,-0.099193269,0.010118632,0.047203509,0.020412054,-0.031269302,-0.165555901,"Briarwood, Fresh Meadows & Hillcrest"
4107,40150,1010,450000,0.417019265,0.099930119,0.287753676,0.482750752,0.090617379,-0.22842005,43110.30303,1100,625000,0.399057638,0.120558888,0.259704118,0.496712424,0.088988061,-0.179165067,44005.33049,1068.104089,625000,0.434839555,0.108274579,0.295295602,0.480762513,0.074675811,-0.17673678,42000,1167.096774,6.00E+05,0.400115589,0.123659398,0.281409627,0.476525969,0.094885679,-0.307903394,42986.83274,1223.202614,5.00E+05,0.385527428,0.098147835,0.288159009,0.53135137,0.093048454,-0.239466335,39916.76647,1240,418118.9711,0.3820761,0.113544154,0.308108623,0.497986027,0.078925783,-0.328657283,45479.24528,1300,5.00E+05,0.436638734,0.125129701,0.339225204,0.491260149,0.09323233,-0.158409909,5329.245283,290,50000,0.019619468,0.025199582,0.051471529,0.008509397,0.002614951,0.07001014,Elmhurst & South Corona
4108,50061.83824,1030,350000,0.38147139,0.287355733,0.51696203,0.369758588,0.577921191,0.108937247,60003.04569,1180,350000,0.367577757,0.274316743,0.539225541,0.400262907,0.591987353,0.355647838,60226.49007,1198.742543,450000,0.367695473,0.319702634,0.548245726,0.37369987,0.578236655,0.310502943,65000,1250,4.00E+05,0.381174965,0.289779923,0.556893247,0.374465209,0.634271144,0.307764885,68740.94293,1278.898305,321736.1111,0.32765488,0.323261762,0.583771228,0.382682002,0.578646993,0.226306667,55000,1300,4.00E+05,0.308374269,0.289439876,0.585268438,0.405493747,0.562405502,0.140548307,69046.07595,1370,350000,0.338338433,0.348180924,0.602994547,0.388629659,0.571600965,0.307431381,18984.23771,340,0,-0.043132956,0.060825191,0.086032518,0.018871072,-0.006320226,0.198494134,Forest Hills & Rego Park
4109,42000,1040,450000,0.383600596,0.156418997,0.340754804,0.474139915,0.289933552,-0.086540687,43982.03593,1069.151515,625000,0.369027312,0.152282528,0.378041105,0.437825867,0.283608532,-0.140317856,57692.65306,1164.95,625000,0.363921193,0.193199504,0.378308984,0.444470742,0.291412957,-0.006821103,55000,1104.873418,521260.355,0.430467878,0.208637804,0.388467877,0.468885695,0.275712856,0.065439089,56551.70732,1300,5.00E+05,0.376051479,0.202473566,0.410192007,0.477695919,0.308394091,0.065292091,52132,1300,548925.6198,0.385748517,0.216578821,0.423103338,0.482239259,0.276441463,0.067015223,53641.31737,1325.144092,5.00E+05,0.412434275,0.207644263,0.466878452,0.473078166,0.275133455,0.102716663,11641.31737,285.1440922,50000,0.028833679,0.051225266,0.126123648,-0.001061749,-0.014800097,0.18925735,Sunnyside & Woodside
4110,50000,1020,625000,0.397071234,0.148259741,0.275404964,0.459227543,0.608062868,0.166894138,49180.82192,1040,625000,0.354548758,0.13532475,0.272752562,0.464648544,0.568199268,-0.078078079,50015.97222,1090,625000,0.371106863,0.153859713,0.297244894,0.472828177,0.573102726,0.002510945,53000,1120,550000,0.312635579,0.156058584,0.30900684,0.41529423,0.59690874,-0.288953167,55128.05281,1178.125,5.00E+05,0.339526356,0.145045031,0.286036503,0.451391881,0.558805849,-0.183410213,53046.15385,1280,5.00E+05,0.311063823,0.130827591,0.271811506,0.484735123,0.516778931,-0.174227119,50003.59664,1191.674797,5.00E+05,0.309163309,0.168051421,0.305419003,0.462248148,0.566173925,-0.219527272,3.596638655,171.6747967,-125000,-0.087907925,0.01979168,0.030014039,0.003020604,-0.041888943,-0.386421411,"Ridgewood, Glendale & Middle Village"
4111,45532.96482,950,350000,0.337285174,0.154133996,0.337459642,0.465645504,0.262903394,-0.312048296,56064.96644,1100,450000,0.384165563,0.17097374,0.350847482,0.491085584,0.26932778,0.070347686,51727.45763,1100,625000,0.433143435,0.140277378,0.300748894,0.489834477,0.254418751,0.023032566,55436.14458,1157.701863,5.00E+05,0.389963049,0.169635012,0.306741148,0.46651873,0.225540812,-0.149226488,54984.93151,1230,422905.9829,0.385168751,0.155213885,0.311459615,0.501441848,0.195045784,-0.099393354,55894.04762,1180,450000,0.335674061,0.152659535,0.377100701,0.494090741,0.184153449,-0.194362071,54920.92391,1250,4.00E+05,0.370940673,0.176596389,0.353824054,0.521395765,0.183508223,-0.076948782,9387.959089,300,50000,0.033655499,0.022462393,0.016364412,0.055750261,-0.079395171,0.235099514,Richmond Hill & Woodhaven
4112,45366.84492,900,350000,0.301588915,0.172408793,0.282383009,0.479615188,0.026690351,-0.521139088,50000,902.1575342,450000,0.307122723,0.174067528,0.286385129,0.471542383,0.01876972,-0.453795504,50543.43066,950,450000,0.281865138,0.193101488,0.294186142,0.469472893,0.021573895,-0.488760617,52461.54799,1000,432554.7445,0.362108545,0.183005773,0.314062795,0.491569326,0.013000655,-0.340154961,57137.45306,1082.683706,4.00E+05,0.269279015,0.177331541,0.328821184,0.479586711,0.017464779,-0.520091387,50000,1090,4.00E+05,0.356299893,0.151008056,0.322154723,0.491419025,0.014608599,-0.374342034,51952.7633,1156.283784,370000,0.303257379,0.163372369,0.34109589,0.487321205,0.014861069,-0.435476981,6585.918375,256.2837838,20000,0.001668463,-0.009036423,0.058712882,0.007706017,-0.011829282,0.085662107,"Jamaica, Hollis & St. Albans"
4113,50000,1148,350000,0.319925358,0.14938005,0.271762259,0.452771778,0.265466763,-0.29582516,55454.30108,1170,450000,0.284974093,0.132309173,0.234005856,0.423240143,0.308050219,-0.376110322,60000,1164.686099,625000,0.32689553,0.130414626,0.227211486,0.489525686,0.252426622,-0.203378625,55033.31579,1270,5.00E+05,0.310232955,0.13606617,0.281466997,0.444716428,0.274444595,-0.365097104,61976.43678,1117.885057,429633.3333,0.324814834,0.168716332,0.290610909,0.450819999,0.273851802,-0.317158857,55691.86047,1290,425000,0.2795499,0.163924972,0.304294787,0.461602727,0.257790724,-0.327032133,60054.48505,1313.753754,4.00E+05,0.257614054,0.149486205,0.308909549,0.440283058,0.22415779,-0.441109856,10054.48505,165.7537538,50000,-0.062311303,0.000106155,0.03714729,-0.01248872,-0.041308973,-0.145284695,Howard Beach & Ozone Park
4114,43307.92952,820,450000,0.444507684,0.188684538,0.309676175,0.524668198,0.309790136,0.05163715,54645.21739,750.4395604,625000,0.317101542,0.163325737,0.280222248,0.516111324,0.415193053,-0.218563931,48845.47206,790,625000,0.353819002,0.163120197,0.299746184,0.498661382,0.406826953,-0.203947639,61000,902.1138211,6.00E+05,0.37256757,0.161357605,0.317704315,0.454092231,0.373400711,-0.226558911,64056.45161,940,6.00E+05,0.314047493,0.214638837,0.361146329,0.482220502,0.395063094,-0.173215708,50000,914.4067797,598108.5526,0.310582565,0.169428979,0.314516844,0.508987922,0.35630202,-0.308949994,52374.39614,990,6.00E+05,0.289471138,0.153114203,0.315438908,0.48736212,0.359394343,-0.383235478,9066.46662,170,150000,-0.155036546,-0.035570335,0.005762733,-0.037306078,0.049604206,-0.434872628,"Far Rockaway, Breezy Point & Broad Channel"
