Payroll,Revenue,
2098224,353543,"{Payroll:2098224,Revenue:353543},"
5109113,353543,"{Payroll:5109113,Revenue:353543},"
5109113,353543,"{Payroll:5109113,Revenue:353543},"
1460907,353009,"{Payroll:1460907,Revenue:353009},"
717410,352892,"{Payroll:717410,Revenue:352892},"
717410,352892,"{Payroll:717410,Revenue:352892},"
1098146,352620,"{Payroll:1098146,Revenue:352620},"
825537,352094,"{Payroll:825537,Revenue:352094},"
4319272,351728,"{Payroll:4319272,Revenue:351728},"
2333853,351696,"{Payroll:2333853,Revenue:351696},"
2333853,351696,"{Payroll:2333853,Revenue:351696},"
4736437,351170,"{Payroll:4736437,Revenue:351170},"
1177237,351031,"{Payroll:1177237,Revenue:351031},"
3338071,350835,"{Payroll:3338071,Revenue:350835},"
1511478,350815,"{Payroll:1511478,Revenue:350815},"
1124505,350803,"{Payroll:1124505,Revenue:350803},"
1824579,350644,"{Payroll:1824579,Revenue:350644},"
2378937,350574,"{Payroll:2378937,Revenue:350574},"
948723,350387,"{Payroll:948723,Revenue:350387},"
1204366,350324,"{Payroll:1204366,Revenue:350324},"
7496190,350309,"{Payroll:7496190,Revenue:350309},"
3071496,349949,"{Payroll:3071496,Revenue:349949},"
1944693,349515,"{Payroll:1944693,Revenue:349515},"
1940645,349468,"{Payroll:1940645,Revenue:349468},"
5512964,349417,"{Payroll:5512964,Revenue:349417},"
1620762,349359,"{Payroll:1620762,Revenue:349359},"
5270770,348817,"{Payroll:5270770,Revenue:348817},"
1694971,348123,"{Payroll:1694971,Revenue:348123},"
2085218,348093,"{Payroll:2085218,Revenue:348093},"
2621006,347535,"{Payroll:2621006,Revenue:347535},"
2621006,347535,"{Payroll:2621006,Revenue:347535},"
1120717,347211,"{Payroll:1120717,Revenue:347211},"
1670095,346566,"{Payroll:1670095,Revenue:346566},"
1462389,346379,"{Payroll:1462389,Revenue:346379},"
13331536,346238,"{Payroll:13331536,Revenue:346238},"
3584047,345896,"{Payroll:3584047,Revenue:345896},"
2950858,345830,"{Payroll:2950858,Revenue:345830},"
2985250,345753,"{Payroll:2985250,Revenue:345753},"
4820898,344556,"{Payroll:4820898,Revenue:344556},"
4820898,344556,"{Payroll:4820898,Revenue:344556},"
6789086,344280,"{Payroll:6789086,Revenue:344280},"
937211,343313,"{Payroll:937211,Revenue:343313},"
2871543,342782,"{Payroll:2871543,Revenue:342782},"
2871543,342782,"{Payroll:2871543,Revenue:342782},"
3513485,342598,"{Payroll:3513485,Revenue:342598},"
3513485,342598,"{Payroll:3513485,Revenue:342598},"
1773834,342318,"{Payroll:1773834,Revenue:342318},"
1773834,342318,"{Payroll:1773834,Revenue:342318},"
1456298,342270,"{Payroll:1456298,Revenue:342270},"
3427732,341959,"{Payroll:3427732,Revenue:341959},"
3013694,341811,"{Payroll:3013694,Revenue:341811},"
2248454,341554,"{Payroll:2248454,Revenue:341554},"
3111394,341440,"{Payroll:3111394,Revenue:341440},"
1579917,341368,"{Payroll:1579917,Revenue:341368},"
4092765,341323,"{Payroll:4092765,Revenue:341323},"
2023686,341143,"{Payroll:2023686,Revenue:341143},"
2023686,341143,"{Payroll:2023686,Revenue:341143},"
4731473,340774,"{Payroll:4731473,Revenue:340774},"
1208981,340408,"{Payroll:1208981,Revenue:340408},"
2596367,340309,"{Payroll:2596367,Revenue:340309},"
13231707,339917,"{Payroll:13231707,Revenue:339917},"
13231707,339917,"{Payroll:13231707,Revenue:339917},"
13231707,339917,"{Payroll:13231707,Revenue:339917},"
1860320,339659,"{Payroll:1860320,Revenue:339659},"
2047358,339638,"{Payroll:2047358,Revenue:339638},"
2047358,339638,"{Payroll:2047358,Revenue:339638},"
1943868,339624,"{Payroll:1943868,Revenue:339624},"
3333007,339612,"{Payroll:3333007,Revenue:339612},"
3567198,339478,"{Payroll:3567198,Revenue:339478},"
1662574,339430,"{Payroll:1662574,Revenue:339430},"
2130250,339367,"{Payroll:2130250,Revenue:339367},"
2314924,339319,"{Payroll:2314924,Revenue:339319},"
1908989,339111,"{Payroll:1908989,Revenue:339111},"
3345420,339050,"{Payroll:3345420,Revenue:339050},"
3345420,339050,"{Payroll:3345420,Revenue:339050},"
3015028,338978,"{Payroll:3015028,Revenue:338978},"
3015028,338978,"{Payroll:3015028,Revenue:338978},"
1971122,338732,"{Payroll:1971122,Revenue:338732},"
1161437,338563,"{Payroll:1161437,Revenue:338563},"
1763991,338499,"{Payroll:1763991,Revenue:338499},"
4559379,338423,"{Payroll:4559379,Revenue:338423},"
1907109,338325,"{Payroll:1907109,Revenue:338325},"
5431074,338290,"{Payroll:5431074,Revenue:338290},"
3933126,338258,"{Payroll:3933126,Revenue:338258},"
3536956,337973,"{Payroll:3536956,Revenue:337973},"
3536956,337973,"{Payroll:3536956,Revenue:337973},"
3141601,337684,"{Payroll:3141601,Revenue:337684},"
3141601,337684,"{Payroll:3141601,Revenue:337684},"
1101798,337414,"{Payroll:1101798,Revenue:337414},"
1101798,337414,"{Payroll:1101798,Revenue:337414},"
1636364,337311,"{Payroll:1636364,Revenue:337311},"
1412898,337151,"{Payroll:1412898,Revenue:337151},"
2165565,337037,"{Payroll:2165565,Revenue:337037},"
2165565,337037,"{Payroll:2165565,Revenue:337037},"
5338295,337010,"{Payroll:5338295,Revenue:337010},"
5338295,337010,"{Payroll:5338295,Revenue:337010},"
2533763,336945,"{Payroll:2533763,Revenue:336945},"
5011060,336805,"{Payroll:5011060,Revenue:336805},"
1609880,336251,"{Payroll:1609880,Revenue:336251},"
5038371,336174,"{Payroll:5038371,Revenue:336174},"
11525360,336024,"{Payroll:11525360,Revenue:336024},"
1333827,335981,"{Payroll:1333827,Revenue:335981},"
2441969,335866,"{Payroll:2441969,Revenue:335866},"
1351099,335850,"{Payroll:1351099,Revenue:335850},"
1417520,335652,"{Payroll:1417520,Revenue:335652},"
1817356,335393,"{Payroll:1817356,Revenue:335393},"
3664198,335042,"{Payroll:3664198,Revenue:335042},"
7985091,334468,"{Payroll:7985091,Revenue:334468},"
7985091,334468,"{Payroll:7985091,Revenue:334468},"
7985091,334468,"{Payroll:7985091,Revenue:334468},"
3180819,334153,"{Payroll:3180819,Revenue:334153},"
3180819,334153,"{Payroll:3180819,Revenue:334153},"
5827711,334117,"{Payroll:5827711,Revenue:334117},"
1531147,333900,"{Payroll:1531147,Revenue:333900},"
1688947,333896,"{Payroll:1688947,Revenue:333896},"
1688947,333896,"{Payroll:1688947,Revenue:333896},"
1520969,333838,"{Payroll:1520969,Revenue:333838},"
2117357,333776,"{Payroll:2117357,Revenue:333776},"
1053154,333256,"{Payroll:1053154,Revenue:333256},"
1047514,333049,"{Payroll:1047514,Revenue:333049},"
2279431,332968,"{Payroll:2279431,Revenue:332968},"
2240898,332917,"{Payroll:2240898,Revenue:332917},"
3735701,332531,"{Payroll:3735701,Revenue:332531},"
3735701,332531,"{Payroll:3735701,Revenue:332531},"
1529020,332398,"{Payroll:1529020,Revenue:332398},"
3011926,332001,"{Payroll:3011926,Revenue:332001},"
1575142,331772,"{Payroll:1575142,Revenue:331772},"
3089804,331670,"{Payroll:3089804,Revenue:331670},"
3089804,331670,"{Payroll:3089804,Revenue:331670},"
4433682,331545,"{Payroll:4433682,Revenue:331545},"
3569256,331432,"{Payroll:3569256,Revenue:331432},"
3569256,331432,"{Payroll:3569256,Revenue:331432},"
1298253,331193,"{Payroll:1298253,Revenue:331193},"
3938864,330554,"{Payroll:3938864,Revenue:330554},"
3938864,330554,"{Payroll:3938864,Revenue:330554},"
2587893,329957,"{Payroll:2587893,Revenue:329957},"
1566059,329791,"{Payroll:1566059,Revenue:329791},"
1586909,329678,"{Payroll:1586909,Revenue:329678},"
1628331,329603,"{Payroll:1628331,Revenue:329603},"
2431931,329587,"{Payroll:2431931,Revenue:329587},"
2625779,329554,"{Payroll:2625779,Revenue:329554},"
2206497,329552,"{Payroll:2206497,Revenue:329552},"
2206497,329552,"{Payroll:2206497,Revenue:329552},"
1333650,329242,"{Payroll:1333650,Revenue:329242},"
1298540,329066,"{Payroll:1298540,Revenue:329066},"
3150670,328873,"{Payroll:3150670,Revenue:328873},"
1446862,328549,"{Payroll:1446862,Revenue:328549},"
1582684,328420,"{Payroll:1582684,Revenue:328420},"
19152989,327809,"{Payroll:19152989,Revenue:327809},"
19152989,327809,"{Payroll:19152989,Revenue:327809},"
671876,327712,"{Payroll:671876,Revenue:327712},"
671876,327712,"{Payroll:671876,Revenue:327712},"
1438321,327567,"{Payroll:1438321,Revenue:327567},"
4187540,327399,"{Payroll:4187540,Revenue:327399},"
6913908,327303,"{Payroll:6913908,Revenue:327303},"
6913908,327303,"{Payroll:6913908,Revenue:327303},"
1762217,327175,"{Payroll:1762217,Revenue:327175},"
1573012,327158,"{Payroll:1573012,Revenue:327158},"
3208071,327056,"{Payroll:3208071,Revenue:327056},"
1886075,326717,"{Payroll:1886075,Revenue:326717},"
1812273,326578,"{Payroll:1812273,Revenue:326578},"
3386454,326442,"{Payroll:3386454,Revenue:326442},"
1282664,326297,"{Payroll:1282664,Revenue:326297},"
4401995,326246,"{Payroll:4401995,Revenue:326246},"
1182867,326110,"{Payroll:1182867,Revenue:326110},"
2968755,326012,"{Payroll:2968755,Revenue:326012},"
1382302,326010,"{Payroll:1382302,Revenue:326010},"
1382302,326010,"{Payroll:1382302,Revenue:326010},"
6340781,325605,"{Payroll:6340781,Revenue:325605},"
2409710,325559,"{Payroll:2409710,Revenue:325559},"
1695026,324828,"{Payroll:1695026,Revenue:324828},"
663168,324817,"{Payroll:663168,Revenue:324817},"
2024501,324596,"{Payroll:2024501,Revenue:324596},"
1582311,324555,"{Payroll:1582311,Revenue:324555},"
1788763,324459,"{Payroll:1788763,Revenue:324459},"
1704775,324066,"{Payroll:1704775,Revenue:324066},"
3139090,324015,"{Payroll:3139090,Revenue:324015},"
3139090,324015,"{Payroll:3139090,Revenue:324015},"
2098730,323870,"{Payroll:2098730,Revenue:323870},"
2098730,323870,"{Payroll:2098730,Revenue:323870},"
2197543,323584,"{Payroll:2197543,Revenue:323584},"
2843505,323356,"{Payroll:2843505,Revenue:323356},"
1632768,322992,"{Payroll:1632768,Revenue:322992},"
3509696,322266,"{Payroll:3509696,Revenue:322266},"
3509696,322266,"{Payroll:3509696,Revenue:322266},"
3198761,322165,"{Payroll:3198761,Revenue:322165},"
1593256,322156,"{Payroll:1593256,Revenue:322156},"
4182823,321909,"{Payroll:4182823,Revenue:321909},"
1549300,321838,"{Payroll:1549300,Revenue:321838},"
1725366,321644,"{Payroll:1725366,Revenue:321644},"
2138445,321292,"{Payroll:2138445,Revenue:321292},"
2382802,320834,"{Payroll:2382802,Revenue:320834},"
1094408,320804,"{Payroll:1094408,Revenue:320804},"
1094408,320804,"{Payroll:1094408,Revenue:320804},"
1046410,320497,"{Payroll:1046410,Revenue:320497},"
1899742,320010,"{Payroll:1899742,Revenue:320010},"
1322100,319996,"{Payroll:1322100,Revenue:319996},"
1723200,319739,"{Payroll:1723200,Revenue:319739},"
1723200,319739,"{Payroll:1723200,Revenue:319739},"
4509384,319693,"{Payroll:4509384,Revenue:319693},"
1359350,319638,"{Payroll:1359350,Revenue:319638},"
40314300,319550,"{Payroll:40314300,Revenue:319550},"
40314300,319550,"{Payroll:40314300,Revenue:319550},"
1304136,319265,"{Payroll:1304136,Revenue:319265},"
11133830,319118,"{Payroll:11133830,Revenue:319118},"
3610477,318928,"{Payroll:3610477,Revenue:318928},"
3610477,318928,"{Payroll:3610477,Revenue:318928},"
2012038,318837,"{Payroll:2012038,Revenue:318837},"
6513639,318759,"{Payroll:6513639,Revenue:318759},"
6513639,318759,"{Payroll:6513639,Revenue:318759},"
1554506,318551,"{Payroll:1554506,Revenue:318551},"
2600903,318506,"{Payroll:2600903,Revenue:318506},"
2600903,318506,"{Payroll:2600903,Revenue:318506},"
2473072,317968,"{Payroll:2473072,Revenue:317968},"
1060875,317705,"{Payroll:1060875,Revenue:317705},"
2649398,317324,"{Payroll:2649398,Revenue:317324},"
1534981,317118,"{Payroll:1534981,Revenue:317118},"
48069471,317010,"{Payroll:48069471,Revenue:317010},"
48069471,317010,"{Payroll:48069471,Revenue:317010},"
1259994,316899,"{Payroll:1259994,Revenue:316899},"
2476511,316783,"{Payroll:2476511,Revenue:316783},"
1126989,316304,"{Payroll:1126989,Revenue:316304},"
1433955,316178,"{Payroll:1433955,Revenue:316178},"
1433955,316178,"{Payroll:1433955,Revenue:316178},"
1409004,315923,"{Payroll:1409004,Revenue:315923},"
2294860,315702,"{Payroll:2294860,Revenue:315702},"
1706663,315458,"{Payroll:1706663,Revenue:315458},"
6554212,315378,"{Payroll:6554212,Revenue:315378},"
1483295,315361,"{Payroll:1483295,Revenue:315361},"
3055323,314989,"{Payroll:3055323,Revenue:314989},"
2191839,314943,"{Payroll:2191839,Revenue:314943},"
1080648,314542,"{Payroll:1080648,Revenue:314542},"
1058162,314225,"{Payroll:1058162,Revenue:314225},"
1058162,314225,"{Payroll:1058162,Revenue:314225},"
2596229,314016,"{Payroll:2596229,Revenue:314016},"
5114300,313575,"{Payroll:5114300,Revenue:313575},"
1448994,313252,"{Payroll:1448994,Revenue:313252},"
1473622,313041,"{Payroll:1473622,Revenue:313041},"
3468595,313026,"{Payroll:3468595,Revenue:313026},"
1025310,312951,"{Payroll:1025310,Revenue:312951},"
1025310,312951,"{Payroll:1025310,Revenue:312951},"
434272,312766,"{Payroll:434272,Revenue:312766},"
434272,312766,"{Payroll:434272,Revenue:312766},"
3267030,312735,"{Payroll:3267030,Revenue:312735},"
3267030,312735,"{Payroll:3267030,Revenue:312735},"
773246,312712,"{Payroll:773246,Revenue:312712},"
1806628,312569,"{Payroll:1806628,Revenue:312569},"
1452698,312300,"{Payroll:1452698,Revenue:312300},"
10668089,312261,"{Payroll:10668089,Revenue:312261},"
2213704,312218,"{Payroll:2213704,Revenue:312218},"
2241128,312164,"{Payroll:2241128,Revenue:312164},"
1495963,312042,"{Payroll:1495963,Revenue:312042},"
2066173,311602,"{Payroll:2066173,Revenue:311602},"
2334675,311466,"{Payroll:2334675,Revenue:311466},"
2063489,311412,"{Payroll:2063489,Revenue:311412},"
1802438,311086,"{Payroll:1802438,Revenue:311086},"
1319788,310968,"{Payroll:1319788,Revenue:310968},"
1319788,310968,"{Payroll:1319788,Revenue:310968},"
1278008,310765,"{Payroll:1278008,Revenue:310765},"
3051984,310759,"{Payroll:3051984,Revenue:310759},"
3051984,310759,"{Payroll:3051984,Revenue:310759},"
1266088,310675,"{Payroll:1266088,Revenue:310675},"
2900821,310635,"{Payroll:2900821,Revenue:310635},"
6233797,310598,"{Payroll:6233797,Revenue:310598},"
2295777,310522,"{Payroll:2295777,Revenue:310522},"
3226392,310437,"{Payroll:3226392,Revenue:310437},"
2586555,310070,"{Payroll:2586555,Revenue:310070},"
910015,309587,"{Payroll:910015,Revenue:309587},"
1433025,309554,"{Payroll:1433025,Revenue:309554},"
2057221,309546,"{Payroll:2057221,Revenue:309546},"
2679207,309495,"{Payroll:2679207,Revenue:309495},"
1829880,309368,"{Payroll:1829880,Revenue:309368},"
2342452,308928,"{Payroll:2342452,Revenue:308928},"
1958018,308888,"{Payroll:1958018,Revenue:308888},"
1646772,308859,"{Payroll:1646772,Revenue:308859},"
1492167,308821,"{Payroll:1492167,Revenue:308821},"
1460996,308791,"{Payroll:1460996,Revenue:308791},"
2568059,308745,"{Payroll:2568059,Revenue:308745},"
3215940,308691,"{Payroll:3215940,Revenue:308691},"
3137539,308553,"{Payroll:3137539,Revenue:308553},"
3638326,308423,"{Payroll:3638326,Revenue:308423},"
1518336,308156,"{Payroll:1518336,Revenue:308156},"
1518336,308156,"{Payroll:1518336,Revenue:308156},"
1390869,307856,"{Payroll:1390869,Revenue:307856},"
1902193,307460,"{Payroll:1902193,Revenue:307460},"
2030712,307152,"{Payroll:2030712,Revenue:307152},"
1000353,307092,"{Payroll:1000353,Revenue:307092},"
2866243,306950,"{Payroll:2866243,Revenue:306950},"
1729609,306632,"{Payroll:1729609,Revenue:306632},"
1532801,306581,"{Payroll:1532801,Revenue:306581},"
1638297,306482,"{Payroll:1638297,Revenue:306482},"
1638297,306482,"{Payroll:1638297,Revenue:306482},"
1042128,306463,"{Payroll:1042128,Revenue:306463},"
4450366,306299,"{Payroll:4450366,Revenue:306299},"
1255140,306061,"{Payroll:1255140,Revenue:306061},"
1568249,306022,"{Payroll:1568249,Revenue:306022},"
11041907,306012,"{Payroll:11041907,Revenue:306012},"
11041907,306012,"{Payroll:11041907,Revenue:306012},"
3144883,305994,"{Payroll:3144883,Revenue:305994},"
497406,305564,"{Payroll:497406,Revenue:305564},"
3363042,305490,"{Payroll:3363042,Revenue:305490},"
3363042,305490,"{Payroll:3363042,Revenue:305490},"
3199029,305255,"{Payroll:3199029,Revenue:305255},"
3199029,305255,"{Payroll:3199029,Revenue:305255},"
4008378,305050,"{Payroll:4008378,Revenue:305050},"
2861324,304918,"{Payroll:2861324,Revenue:304918},"
1134783,304533,"{Payroll:1134783,Revenue:304533},"
1134783,304533,"{Payroll:1134783,Revenue:304533},"
3189818,304379,"{Payroll:3189818,Revenue:304379},"
3189818,304379,"{Payroll:3189818,Revenue:304379},"
4681592,304206,"{Payroll:4681592,Revenue:304206},"
1715076,304203,"{Payroll:1715076,Revenue:304203},"
1715076,304203,"{Payroll:1715076,Revenue:304203},"
3031037,303837,"{Payroll:3031037,Revenue:303837},"
11677292,303508,"{Payroll:11677292,Revenue:303508},"
3048526,303347,"{Payroll:3048526,Revenue:303347},"
3048526,303347,"{Payroll:3048526,Revenue:303347},"
1787666,303136,"{Payroll:1787666,Revenue:303136},"
47925874,303115,"{Payroll:47925874,Revenue:303115},"
3564582,303105,"{Payroll:3564582,Revenue:303105},"
3564582,303105,"{Payroll:3564582,Revenue:303105},"
5452013,303086,"{Payroll:5452013,Revenue:303086},"
1680760,303012,"{Payroll:1680760,Revenue:303012},"
1018647,302416,"{Payroll:1018647,Revenue:302416},"
981711,301743,"{Payroll:981711,Revenue:301743},"
981711,301743,"{Payroll:981711,Revenue:301743},"
981711,301743,"{Payroll:981711,Revenue:301743},"
1317180,301652,"{Payroll:1317180,Revenue:301652},"
1463715,301137,"{Payroll:1463715,Revenue:301137},"
2971256,301023,"{Payroll:2971256,Revenue:301023},"
2971256,301023,"{Payroll:2971256,Revenue:301023},"
2971256,301023,"{Payroll:2971256,Revenue:301023},"
1150061,300806,"{Payroll:1150061,Revenue:300806},"
1951635,300548,"{Payroll:1951635,Revenue:300548},"
2099026,300381,"{Payroll:2099026,Revenue:300381},"
975420,300142,"{Payroll:975420,Revenue:300142},"
853174,300112,"{Payroll:853174,Revenue:300112},"
1727732,300084,"{Payroll:1727732,Revenue:300084},"
1727732,300084,"{Payroll:1727732,Revenue:300084},"
1727732,300084,"{Payroll:1727732,Revenue:300084},"
2527487,300081,"{Payroll:2527487,Revenue:300081},"
2918836,299264,"{Payroll:2918836,Revenue:299264},"
2676784,299125,"{Payroll:2676784,Revenue:299125},"
942498,298937,"{Payroll:942498,Revenue:298937},"
5669715,298754,"{Payroll:5669715,Revenue:298754},"
4338388,298425,"{Payroll:4338388,Revenue:298425},"
918018,298424,"{Payroll:918018,Revenue:298424},"
1829327,298275,"{Payroll:1829327,Revenue:298275},"
3058263,298119,"{Payroll:3058263,Revenue:298119},"
874862,298090,"{Payroll:874862,Revenue:298090},"
5449087,298078,"{Payroll:5449087,Revenue:298078},"
5449087,298078,"{Payroll:5449087,Revenue:298078},"
4318232,297848,"{Payroll:4318232,Revenue:297848},"
2296259,297800,"{Payroll:2296259,Revenue:297800},"
1352255,297625,"{Payroll:1352255,Revenue:297625},"
1524406,297618,"{Payroll:1524406,Revenue:297618},"
1637219,297487,"{Payroll:1637219,Revenue:297487},"
2240804,297476,"{Payroll:2240804,Revenue:297476},"
2240804,297476,"{Payroll:2240804,Revenue:297476},"
3251760,297471,"{Payroll:3251760,Revenue:297471},"
1615929,297382,"{Payroll:1615929,Revenue:297382},"
1615929,297382,"{Payroll:1615929,Revenue:297382},"
1288817,297161,"{Payroll:1288817,Revenue:297161},"
396160,296983,"{Payroll:396160,Revenue:296983},"
396160,296983,"{Payroll:396160,Revenue:296983},"
2328787,296931,"{Payroll:2328787,Revenue:296931},"
2328787,296931,"{Payroll:2328787,Revenue:296931},"
1651209,296558,"{Payroll:1651209,Revenue:296558},"
1582063,296149,"{Payroll:1582063,Revenue:296149},"
2667939,296148,"{Payroll:2667939,Revenue:296148},"
2738806,295836,"{Payroll:2738806,Revenue:295836},"
2738806,295836,"{Payroll:2738806,Revenue:295836},"
2809256,295711,"{Payroll:2809256,Revenue:295711},"
2809256,295711,"{Payroll:2809256,Revenue:295711},"
3723417,295549,"{Payroll:3723417,Revenue:295549},"
3661096,295444,"{Payroll:3661096,Revenue:295444},"
1345743,295336,"{Payroll:1345743,Revenue:295336},"
1834701,295321,"{Payroll:1834701,Revenue:295321},"
1834701,295321,"{Payroll:1834701,Revenue:295321},"
845515,295202,"{Payroll:845515,Revenue:295202},"
1646242,294403,"{Payroll:1646242,Revenue:294403},"
1550623,294300,"{Payroll:1550623,Revenue:294300},"
1191544,294183,"{Payroll:1191544,Revenue:294183},"
1754214,294035,"{Payroll:1754214,Revenue:294035},"
1087464,293852,"{Payroll:1087464,Revenue:293852},"
2777450,293293,"{Payroll:2777450,Revenue:293293},"
2777450,293293,"{Payroll:2777450,Revenue:293293},"
1048141,293283,"{Payroll:1048141,Revenue:293283},"
1048141,293283,"{Payroll:1048141,Revenue:293283},"
8201807,293129,"{Payroll:8201807,Revenue:293129},"
8201807,293129,"{Payroll:8201807,Revenue:293129},"
4241685,293107,"{Payroll:4241685,Revenue:293107},"
1292177,293032,"{Payroll:1292177,Revenue:293032},"
2217804,292723,"{Payroll:2217804,Revenue:292723},"
1220316,292668,"{Payroll:1220316,Revenue:292668},"
1839671,292574,"{Payroll:1839671,Revenue:292574},"
1839671,292574,"{Payroll:1839671,Revenue:292574},"
1698489,292458,"{Payroll:1698489,Revenue:292458},"
2379116,292436,"{Payroll:2379116,Revenue:292436},"
1522565,292391,"{Payroll:1522565,Revenue:292391},"
2179334,291798,"{Payroll:2179334,Revenue:291798},"
9360417,291631,"{Payroll:9360417,Revenue:291631},"
926473,291407,"{Payroll:926473,Revenue:291407},"
926473,291407,"{Payroll:926473,Revenue:291407},"
7394686,291217,"{Payroll:7394686,Revenue:291217},"
2186241,291081,"{Payroll:2186241,Revenue:291081},"
4049962,290968,"{Payroll:4049962,Revenue:290968},"
2648516,290762,"{Payroll:2648516,Revenue:290762},"
3498003,290623,"{Payroll:3498003,Revenue:290623},"
3189524,290618,"{Payroll:3189524,Revenue:290618},"
3189524,290618,"{Payroll:3189524,Revenue:290618},"
1630619,290602,"{Payroll:1630619,Revenue:290602},"
2616475,290551,"{Payroll:2616475,Revenue:290551},"
2616475,290551,"{Payroll:2616475,Revenue:290551},"
2681532,290368,"{Payroll:2681532,Revenue:290368},"
703556,290359,"{Payroll:703556,Revenue:290359},"
1147802,290110,"{Payroll:1147802,Revenue:290110},"
1294360,289992,"{Payroll:1294360,Revenue:289992},"
906739,289980,"{Payroll:906739,Revenue:289980},"
906739,289980,"{Payroll:906739,Revenue:289980},"
1591551,289960,"{Payroll:1591551,Revenue:289960},"
1591551,289960,"{Payroll:1591551,Revenue:289960},"
1765520,289824,"{Payroll:1765520,Revenue:289824},"
1908752,289798,"{Payroll:1908752,Revenue:289798},"
1908752,289798,"{Payroll:1908752,Revenue:289798},"
2752246,289674,"{Payroll:2752246,Revenue:289674},"
2032600,289538,"{Payroll:2032600,Revenue:289538},"
3190943,289465,"{Payroll:3190943,Revenue:289465},"
1245246,289390,"{Payroll:1245246,Revenue:289390},"
901149,289166,"{Payroll:901149,Revenue:289166},"
1653166,288929,"{Payroll:1653166,Revenue:288929},"
877902,288447,"{Payroll:877902,Revenue:288447},"
945023,288444,"{Payroll:945023,Revenue:288444},"
1383785,288283,"{Payroll:1383785,Revenue:288283},"
1767599,288068,"{Payroll:1767599,Revenue:288068},"
3444677,287920,"{Payroll:3444677,Revenue:287920},"
1308355,287767,"{Payroll:1308355,Revenue:287767},"
1842109,287631,"{Payroll:1842109,Revenue:287631},"
1328962,287596,"{Payroll:1328962,Revenue:287596},"
929346,287402,"{Payroll:929346,Revenue:287402},"
929346,287402,"{Payroll:929346,Revenue:287402},"
7672670,287402,"{Payroll:7672670,Revenue:287402},"
1131054,287366,"{Payroll:1131054,Revenue:287366},"
1131054,287366,"{Payroll:1131054,Revenue:287366},"
1744726,287317,"{Payroll:1744726,Revenue:287317},"
1619051,287302,"{Payroll:1619051,Revenue:287302},"
2503193,287158,"{Payroll:2503193,Revenue:287158},"
3521082,287019,"{Payroll:3521082,Revenue:287019},"
2691342,286963,"{Payroll:2691342,Revenue:286963},"
9803840,286741,"{Payroll:9803840,Revenue:286741},"
2081835,286628,"{Payroll:2081835,Revenue:286628},"
1236000,286611,"{Payroll:1236000,Revenue:286611},"
1717514,286460,"{Payroll:1717514,Revenue:286460},"
1443511,286402,"{Payroll:1443511,Revenue:286402},"
1583422,286202,"{Payroll:1583422,Revenue:286202},"
3580305,285962,"{Payroll:3580305,Revenue:285962},"
1806216,285920,"{Payroll:1806216,Revenue:285920},"
1806216,285920,"{Payroll:1806216,Revenue:285920},"
3450802,285765,"{Payroll:3450802,Revenue:285765},"
1548627,285681,"{Payroll:1548627,Revenue:285681},"
1901265,285595,"{Payroll:1901265,Revenue:285595},"
1139936,285411,"{Payroll:1139936,Revenue:285411},"
1536919,285048,"{Payroll:1536919,Revenue:285048},"
2338180,284965,"{Payroll:2338180,Revenue:284965},"
2338180,284965,"{Payroll:2338180,Revenue:284965},"
23046865,284531,"{Payroll:23046865,Revenue:284531},"
23046865,284531,"{Payroll:23046865,Revenue:284531},"
2003000,284424,"{Payroll:2003000,Revenue:284424},"
1689123,284418,"{Payroll:1689123,Revenue:284418},"
2549281,284084,"{Payroll:2549281,Revenue:284084},"
1487886,284027,"{Payroll:1487886,Revenue:284027},"
1148590,283926,"{Payroll:1148590,Revenue:283926},"
1024817,283900,"{Payroll:1024817,Revenue:283900},"
4271533,283899,"{Payroll:4271533,Revenue:283899},"
2800955,283890,"{Payroll:2800955,Revenue:283890},"
914556,283735,"{Payroll:914556,Revenue:283735},"
773168,283472,"{Payroll:773168,Revenue:283472},"
773168,283472,"{Payroll:773168,Revenue:283472},"
773168,283472,"{Payroll:773168,Revenue:283472},"
773168,283472,"{Payroll:773168,Revenue:283472},"
1361416,283428,"{Payroll:1361416,Revenue:283428},"
363879,283390,"{Payroll:363879,Revenue:283390},"
3628275,283180,"{Payroll:3628275,Revenue:283180},"
886185,283035,"{Payroll:886185,Revenue:283035},"
3493034,282980,"{Payroll:3493034,Revenue:282980},"
723945,282929,"{Payroll:723945,Revenue:282929},"
2831809,282903,"{Payroll:2831809,Revenue:282903},"
2053749,282902,"{Payroll:2053749,Revenue:282902},"
2053749,282902,"{Payroll:2053749,Revenue:282902},"
2046328,282875,"{Payroll:2046328,Revenue:282875},"
1002292,282821,"{Payroll:1002292,Revenue:282821},"
1002292,282821,"{Payroll:1002292,Revenue:282821},"
2614650,282713,"{Payroll:2614650,Revenue:282713},"
3879564,282650,"{Payroll:3879564,Revenue:282650},"
3250634,282252,"{Payroll:3250634,Revenue:282252},"
1212887,282219,"{Payroll:1212887,Revenue:282219},"
1964491,282216,"{Payroll:1964491,Revenue:282216},"
545622,282118,"{Payroll:545622,Revenue:282118},"
2660314,282097,"{Payroll:2660314,Revenue:282097},"
3768717,281726,"{Payroll:3768717,Revenue:281726},"
3768717,281726,"{Payroll:3768717,Revenue:281726},"
1717300,281139,"{Payroll:1717300,Revenue:281139},"
