Payroll,Revenue,
24414445,5878487,"{Payroll:24414445,Revenue:5878487},"
60936327,5872932,"{Payroll:60936327,Revenue:5872932},"
29761780,5867523,"{Payroll:29761780,Revenue:5867523},"
61639537,5850344,"{Payroll:61639537,Revenue:5850344},"
50046429,5762622,"{Payroll:50046429,Revenue:5762622},"
108891009,5561717,"{Payroll:108891009,Revenue:5561717},"
26211145,5559837,"{Payroll:26211145,Revenue:5559837},"
46106577,5538725,"{Payroll:46106577,Revenue:5538725},"
19811104,5445238,"{Payroll:19811104,Revenue:5445238},"
19811104,5445238,"{Payroll:19811104,Revenue:5445238},"
20889022,5425492,"{Payroll:20889022,Revenue:5425492},"
55391092,5425096,"{Payroll:55391092,Revenue:5425096},"
162845722,5398889,"{Payroll:162845722,Revenue:5398889},"
25678276,5306079,"{Payroll:25678276,Revenue:5306079},"
66650916,5203194,"{Payroll:66650916,Revenue:5203194},"
66650916,5203194,"{Payroll:66650916,Revenue:5203194},"
96619179,5159180,"{Payroll:96619179,Revenue:5159180},"
26511415,5073340,"{Payroll:26511415,Revenue:5073340},"
25625299,5063256,"{Payroll:25625299,Revenue:5063256},"
45334502,5049783,"{Payroll:45334502,Revenue:5049783},"
17839472,5035282,"{Payroll:17839472,Revenue:5035282},"
28764677,4972456,"{Payroll:28764677,Revenue:4972456},"
18309407,4948772,"{Payroll:18309407,Revenue:4948772},"
65212595,4875627,"{Payroll:65212595,Revenue:4875627},"
121039206,4867441,"{Payroll:121039206,Revenue:4867441},"
18083711,4847270,"{Payroll:18083711,Revenue:4847270},"
77034971,4762104,"{Payroll:77034971,Revenue:4762104},"
28960330,4742327,"{Payroll:28960330,Revenue:4742327},"
49200094,4701227,"{Payroll:49200094,Revenue:4701227},"
87889641,4667520,"{Payroll:87889641,Revenue:4667520},"
5799385,4653975,"{Payroll:5799385,Revenue:4653975},"
21584866,4652009,"{Payroll:21584866,Revenue:4652009},"
23126870,4603168,"{Payroll:23126870,Revenue:4603168},"
49239432,4575454,"{Payroll:49239432,Revenue:4575454},"
10842145,4540622,"{Payroll:10842145,Revenue:4540622},"
23078329,4505485,"{Payroll:23078329,Revenue:4505485},"
15274616,4345407,"{Payroll:15274616,Revenue:4345407},"
63718420,4343342,"{Payroll:63718420,Revenue:4343342},"
20318189,4336828,"{Payroll:20318189,Revenue:4336828},"
23967580,4316816,"{Payroll:23967580,Revenue:4316816},"
15920067,4306677,"{Payroll:15920067,Revenue:4306677},"
15440248,4232576,"{Payroll:15440248,Revenue:4232576},"
75937275,4231532,"{Payroll:75937275,Revenue:4231532},"
75937275,4231532,"{Payroll:75937275,Revenue:4231532},"
75937275,4231532,"{Payroll:75937275,Revenue:4231532},"
15563813,4211134,"{Payroll:15563813,Revenue:4211134},"
14208537,4194700,"{Payroll:14208537,Revenue:4194700},"
20440978,4172549,"{Payroll:20440978,Revenue:4172549},"
43633063,4157211,"{Payroll:43633063,Revenue:4157211},"
43633063,4157211,"{Payroll:43633063,Revenue:4157211},"
62290515,4150038,"{Payroll:62290515,Revenue:4150038},"
69437272,4144342,"{Payroll:69437272,Revenue:4144342},"
34658267,4132950,"{Payroll:34658267,Revenue:4132950},"
18621113,4057571,"{Payroll:18621113,Revenue:4057571},"
13996635,4030307,"{Payroll:13996635,Revenue:4030307},"
57499177,4002759,"{Payroll:57499177,Revenue:4002759},"
15984877,3999650,"{Payroll:15984877,Revenue:3999650},"
13617654,3994605,"{Payroll:13617654,Revenue:3994605},"
19800973,3978216,"{Payroll:19800973,Revenue:3978216},"
21652383,3953981,"{Payroll:21652383,Revenue:3953981},"
36908078,3929444,"{Payroll:36908078,Revenue:3929444},"
18895624,3923815,"{Payroll:18895624,Revenue:3923815},"
21137200,3905933,"{Payroll:21137200,Revenue:3905933},"
21137200,3905933,"{Payroll:21137200,Revenue:3905933},"
18994684,3885426,"{Payroll:18994684,Revenue:3885426},"
13432602,3858232,"{Payroll:13432602,Revenue:3858232},"
101013656,3821858,"{Payroll:101013656,Revenue:3821858},"
15262691,3704516,"{Payroll:15262691,Revenue:3704516},"
34003453,3704459,"{Payroll:34003453,Revenue:3704459},"
19572591,3634013,"{Payroll:19572591,Revenue:3634013},"
19572591,3634013,"{Payroll:19572591,Revenue:3634013},"
23773105,3608847,"{Payroll:23773105,Revenue:3608847},"
39076013,3591467,"{Payroll:39076013,Revenue:3591467},"
10198576,3562579,"{Payroll:10198576,Revenue:3562579},"
16655933,3527025,"{Payroll:16655933,Revenue:3527025},"
45863247,3500791,"{Payroll:45863247,Revenue:3500791},"
24101799,3485863,"{Payroll:24101799,Revenue:3485863},"
13698697,3477525,"{Payroll:13698697,Revenue:3477525},"
47799759,3470653,"{Payroll:47799759,Revenue:3470653},"
38234170,3454095,"{Payroll:38234170,Revenue:3454095},"
7410781,3445554,"{Payroll:7410781,Revenue:3445554},"
12329763,3434834,"{Payroll:12329763,Revenue:3434834},"
32538004,3367818,"{Payroll:32538004,Revenue:3367818},"
3775490,3356336,"{Payroll:3775490,Revenue:3356336},"
3775490,3356336,"{Payroll:3775490,Revenue:3356336},"
9135099,3341832,"{Payroll:9135099,Revenue:3341832},"
9135099,3341832,"{Payroll:9135099,Revenue:3341832},"
9135099,3341832,"{Payroll:9135099,Revenue:3341832},"
9135099,3341832,"{Payroll:9135099,Revenue:3341832},"
17913628,3311709,"{Payroll:17913628,Revenue:3311709},"
27280830,3304313,"{Payroll:27280830,Revenue:3304313},"
40345573,3298020,"{Payroll:40345573,Revenue:3298020},"
16561600,3295649,"{Payroll:16561600,Revenue:3295649},"
29178085,3274329,"{Payroll:29178085,Revenue:3274329},"
12515600,3268122,"{Payroll:12515600,Revenue:3268122},"
14304278,3262974,"{Payroll:14304278,Revenue:3262974},"
42583060,3253410,"{Payroll:42583060,Revenue:3253410},"
32286927,3247187,"{Payroll:32286927,Revenue:3247187},"
8858346,3201586,"{Payroll:8858346,Revenue:3201586},"
8858346,3201586,"{Payroll:8858346,Revenue:3201586},"
11728425,3154785,"{Payroll:11728425,Revenue:3154785},"
11365148,3135926,"{Payroll:11365148,Revenue:3135926},"
15136962,3135804,"{Payroll:15136962,Revenue:3135804},"
14101380,3120551,"{Payroll:14101380,Revenue:3120551},"
4136322,3116144,"{Payroll:4136322,Revenue:3116144},"
43036020,3005481,"{Payroll:43036020,Revenue:3005481},"
16229330,3003706,"{Payroll:16229330,Revenue:3003706},"
11199333,2995311,"{Payroll:11199333,Revenue:2995311},"
12320797,2951630,"{Payroll:12320797,Revenue:2951630},"
12320797,2951630,"{Payroll:12320797,Revenue:2951630},"
14952009,2949324,"{Payroll:14952009,Revenue:2949324},"
15585825,2938952,"{Payroll:15585825,Revenue:2938952},"
22450877,2927552,"{Payroll:22450877,Revenue:2927552},"
22450877,2927552,"{Payroll:22450877,Revenue:2927552},"
10944475,2926763,"{Payroll:10944475,Revenue:2926763},"
9941522,2920601,"{Payroll:9941522,Revenue:2920601},"
9582804,2917635,"{Payroll:9582804,Revenue:2917635},"
10074572,2915673,"{Payroll:10074572,Revenue:2915673},"
76575043,2874752,"{Payroll:76575043,Revenue:2874752},"
34230648,2871134,"{Payroll:34230648,Revenue:2871134},"
12347204,2869551,"{Payroll:12347204,Revenue:2869551},"
34678126,2863601,"{Payroll:34678126,Revenue:2863601},"
13962736,2851372,"{Payroll:13962736,Revenue:2851372},"
18207026,2848408,"{Payroll:18207026,Revenue:2848408},"
18207026,2848408,"{Payroll:18207026,Revenue:2848408},"
6775196,2840603,"{Payroll:6775196,Revenue:2840603},"
9664838,2840414,"{Payroll:9664838,Revenue:2840414},"
16869959,2835701,"{Payroll:16869959,Revenue:2835701},"
12023294,2830589,"{Payroll:12023294,Revenue:2830589},"
9371946,2819821,"{Payroll:9371946,Revenue:2819821},"
